time_s,source_key,value
469,TL_MpP1p05,2
469,TL_MpP1p07,2
469,TL_MpP1p08,1
470,TL_MpP1p01,1
470,TL_MpP1p05,1
471,TL_MpP1p03,1
471,TL_MpP1p04,1
471,TL_MpP1p05,1
471,TL_MpP1p06,1
471,TL_MpP1p11,1
472,TL_MpP1p03,1
472,TL_MpP1p04,1
472,TL_MpP1p11,1
474,TL_MpP1p02,1
474,TL_MpP1p05,2
474,TL_MpP1p06,1
475,TL_MpP1p01,1
475,TX_MpP1p04,1
475,TL_MpP1p04,2
476,TL_MpP1p04,1
478,TL_MpP1p02,1
478,TL_MpP1p03,1
478,TL_MpP1p10,1
479,TL_MpP1p06,1
480,TL_MpP1p05,2
481,TL_MpP1p04,2
481,TL_MpP1p06,1
481,TL_MpP1p09,1
481,TL_MpP1p11,1
482,TX_MpP1p04,1
482,TL_MpP1p04,1
482,TL_MpP1p07,1
482,TL_MpP1p08,1
482,TL_MpP1p11,1
483,TL_MpP1p04,1
484,TL_MpP1p03,1
484,TL_MpP1p05,1
484,TL_MpP1p06,1
484,TL_MpP1p07,1
485,TL_MpP1p04,1
485,TL_MpP1p06,1
485,TL_MpP1p08,1
486,TL_MpP1p01,1
486,TL_MpP1p06,1
486,TL_MpP1p07,1
486,TL_MpP1p08,1
486,TL_MpP1p10,1
487,TL_MpP1p05,1
487,TL_MpP1p08,1
488,TL_MpP1p08,1
489,TL_MpP1p04,4
489,TX_MpP1p11,1
489,TL_MpP1p11,1
490,TX_MpP1p06,1
491,TX_MpP1p02,1
491,TL_MpP1p02,1
492,TL_MpP1p07,1
493,TL_MpP1p03,1
493,TL_MpP1p08,1
493,TL_MpP1p11,1
494,TX_MpP1p05,1
494,TL_MpP1p05,1
495,TL_MpP1p02,1
495,TL_MpP1p11,1
496,TL_MpP1p04,1
496,TL_MpP1p08,1
496,TL_MpP1p09,1
497,TL_MpP1p02,1
497,TL_MpP1p04,1
497,TL_MpP1p05,1
497,TL_MpP1p06,1
497,TL_MpP1p07,1
497,TL_MpP1p08,2
497,TL_MpP1p10,1
498,TL_MpP1p05,2
498,TX_MpP1p06,1
498,TL_MpP1p06,1
498,TL_MpP1p09,1
499,TX_MpP1p05,1
499,TL_MpP1p06,2
500,TL_MpP1p02,1
500,TL_MpP1p03,1
500,TL_MpP1p04,2
500,TX_MpP1p08,1
501,TL_MpP1p01,1
502,TL_MpP1p04,1
502,TL_MpP1p07,1
503,TL_MpP1p05,2
503,TL_MpP1p10,1
504,TL_MpP1p02,1
504,TL_MpP1p03,1
504,TL_MpP1p04,2
504,TL_MpP1p09,1
505,TL_MpP1p05,1
505,TL_MpP1p07,1
505,TL_MpP1p11,1
506,TL_MpP1p02,1
506,TL_MpP1p04,2
506,TL_MpP1p06,1
506,TL_MpP1p08,1
507,TL_MpP1p05,1
507,TL_MpP1p09,1
508,TL_MpP1p02,2
508,TL_MpP1p04,1
508,TL_MpP1p05,2
508,TL_MpP1p06,1
509,TL_MpP1p09,1
509,TL_MpP1p11,1
510,TL_MpP1p03,1
510,TL_MpP1p04,1
510,TL_MpP1p05,2
510,TL_MpP1p09,1
511,TL_MpP1p05,2
513,TL_MpP1p04,1
