upstream_run_id,spatial_condition,object_id,anchor_definition,scheduled_time,accepted_birth_time,opening_time,event_resolution,first_anchor_outside_time,whole_body_exit_time,delta_s,post_open_s,delta_over_post_open,anchor_return_count,observation_end,censor_status
r12ce_g1_2500s,r2_s1,1,head/assembly anchor c; occupied zero-offset site,1238,1238,1301,exact CTMC event; checkpoint-identical replay,1303.4409104197023,1303.4683178165772,0.02740739687487803,2.468317816577155,0.011103674207110082,1,1480,observed
r12ce_g1_2500s,r2_s1,2,head/assembly anchor c; occupied zero-offset site,1239,1239,1301,exact CTMC event; checkpoint-identical replay,1318.458668468827,1318.4589664035163,0.0002979346893425827,17.458966403516342,1.7064852664048706e-05,0,1480,observed
r12ce_g1_2500s,r2_s1,3,head/assembly anchor c; occupied zero-offset site,1294,1294,1301,exact CTMC event; checkpoint-identical replay,1308.6522535132124,1308.6570695519856,0.004816038773242326,7.6570695519856145,0.0006289663089181998,3,1480,observed
r12ce_g1_2500s,r2_s1,4,head/assembly anchor c; occupied zero-offset site,1301,1301,1301,exact CTMC event; checkpoint-identical replay,1313.7600949116454,1313.8134849469723,0.05339003532685638,12.813484946972267,0.004166706836415495,3,1480,observed
r12ce_g1_2500s,r2_s1,5,head/assembly anchor c; occupied zero-offset site,1303,1303,1301,exact CTMC event; checkpoint-identical replay,1306.581496671375,1306.5831965986783,0.0016999273034343787,3.5831965986783416,0.0004744164202604443,1,1480,observed
r12ce_g1_2500s,r2_s1,6,head/assembly anchor c; occupied zero-offset site,1304,1304,1301,exact CTMC event; checkpoint-identical replay,1310.6204729083852,1310.6675711419157,0.04709823353050524,6.667571141915687,0.007063776677900321,4,1480,observed
r12ce_g1_2500s,r2_s1,7,head/assembly anchor c; occupied zero-offset site,1307,1307,1301,exact CTMC event; checkpoint-identical replay,1307.707818931087,1307.7627870140643,0.05496808297721145,0.7627870140643154,0.0720621640952277,2,1480,observed
r12ce_g1_2500s,r2_s1,8,head/assembly anchor c; occupied zero-offset site,1312,1312,1301,exact CTMC event; checkpoint-identical replay,1314.0694278099932,1314.089912095062,0.020484285068732788,2.089912095061891,0.009801505583480613,5,1480,observed
r12ce_g1_2500s,r2_s1,9,head/assembly anchor c; occupied zero-offset site,1320,1320,1301,exact CTMC event; checkpoint-identical replay,1321.1160098621208,1321.1820292154705,0.06601935334970221,1.182029215470493,0.05585255633755548,1,1480,observed
r12ce_g1_2500s,r2_s1,10,head/assembly anchor c; occupied zero-offset site,1322,1322,1301,exact CTMC event; checkpoint-identical replay,1330.6570841533062,1330.6579324711045,0.0008483177982725465,8.65793247110446,9.798156789785286e-05,0,1480,observed
r12ce_g1_2500s,r2_s1,11,head/assembly anchor c; occupied zero-offset site,1323,1323,1301,exact CTMC event; checkpoint-identical replay,1329.6120761853474,1329.6409701661742,0.02889398082675143,6.6409701661741565,0.004350867434087144,3,1480,observed
r12ce_g1_2500s,r2_s2,1,head/assembly anchor c; occupied zero-offset site,1238,1238,1301,exact CTMC event; checkpoint-identical replay,1301.074667875625,1301.0754610055005,0.0007931298755465832,0.0754610055005287,0.010510459942665704,2,1480,observed
r12ce_g1_2500s,r2_s2,2,head/assembly anchor c; occupied zero-offset site,1239,1239,1301,exact CTMC event; checkpoint-identical replay,1317.480683811219,1336.6443120132778,19.163628202058817,35.64431201327784,0.5376349582766582,5,1480,observed
r12ce_g1_2500s,r2_s2,3,head/assembly anchor c; occupied zero-offset site,1294,1294,1301,exact CTMC event; checkpoint-identical replay,1319.4317767822458,1330.3826052048348,10.950828422588984,29.382605204834817,0.3726976674208269,16,1480,observed
r12ce_g1_2500s,r2_s2,4,head/assembly anchor c; occupied zero-offset site,1301,1301,1301,exact CTMC event; checkpoint-identical replay,1316.9640755156445,1345.0704128911952,28.106337375550766,44.07041289119525,0.6377597923791198,13,1480,observed
r12ce_g1_2500s,r2_s2,5,head/assembly anchor c; occupied zero-offset site,1303,1303,1301,exact CTMC event; checkpoint-identical replay,1327.6084465744234,1327.70240576829,0.09395919386656715,24.702405768289964,0.0038036454727490908,8,1480,observed
r12ce_g1_2500s,r2_s2,6,head/assembly anchor c; occupied zero-offset site,1304,1304,1301,exact CTMC event; checkpoint-identical replay,1310.686730826609,1310.787008296265,0.10027746965602091,6.787008296264958,0.014774914848889436,15,1480,observed
r12ce_g1_2500s,r2_s2,7,head/assembly anchor c; occupied zero-offset site,1307,1307,1301,exact CTMC event; checkpoint-identical replay,1309.1165815917266,1309.1184830492725,0.0019014575459550542,2.118483049272527,0.0008975561766274232,1,1480,observed
r12ce_g1_2500s,r2_s2,8,head/assembly anchor c; occupied zero-offset site,1312,1312,1301,exact CTMC event; checkpoint-identical replay,1320.5243922093734,1320.5794134330813,0.055021223707854006,8.5794134330813,0.006413168468568965,8,1480,observed
r12ce_g1_2500s,r2_s2,9,head/assembly anchor c; occupied zero-offset site,1320,1321,1301,exact CTMC event; checkpoint-identical replay,1321.032935547347,1321.0428530590598,0.00991751171272881,0.04285305905978021,0.23143065933505091,7,1480,observed
r12ce_g1_2500s,r2_s2,10,head/assembly anchor c; occupied zero-offset site,1322,1322,1301,exact CTMC event; checkpoint-identical replay,1324.2085035848368,1324.2091389546688,0.0006353698320253898,2.209138954668788,0.00028760971811329526,0,1480,observed
r12ce_g1_2500s,r2_s2,11,head/assembly anchor c; occupied zero-offset site,1323,1323,1301,exact CTMC event; checkpoint-identical replay,1337.767944440595,1337.7708190713136,0.0028746307184519537,14.770819071313554,0.00019461552569110955,2,1480,observed
r12ce_g1_2500s,r4_s0,1,head/assembly anchor c; occupied zero-offset site,1238,1238,1301,exact CTMC event; checkpoint-identical replay,1309.3989057539702,1310.5596272319453,1.1607214779751303,9.559627231945342,0.12141911497305617,4,1480,observed
r12ce_g1_2500s,r4_s0,2,head/assembly anchor c; occupied zero-offset site,1239,1239,1301,exact CTMC event; checkpoint-identical replay,1301.2073073281476,1301.2087628216275,0.001455493479852521,0.20876282162748794,0.006971995628846565,0,1480,observed
